Gene00,Gene01,Gene02,Gene03,Gene04,Gene05,Gene06,Gene07,Gene08,Gene09,Gene10,Gene11,Gene12,Gene13,Gene14,Gene15,Gene16,Gene17,Gene18,Gene19
0.370593,0.304352,2.44817,2.07691,-0.00690334,-0.464589,-0.742543,-1.35392,0.895742,1.36335,-0.632354,0.373129,-1.13959,-1.19605,-1.47953,-0.00709619,1.60687,0.595486,2.73069,-1.81561
0.0610767,1.81991,0.334973,1.39303,0.706354,-0.558063,-0.432394,-1.11591,1.5758,-1.19767,-2.63443,-0.57417,0.386009,-0.934407,-2.12943,0.268222,1.46581,-0.554481,-0.295208,-2.25155
-0.354777,-0.33662,-0.459587,-1.09992,-0.334349,0.13409,-0.808976,-0.449476,-0.0446724,1.14813,2.18251,0.277795,-1.14652,0.311078,0.221502,2.31371,-1.00515,0.0794301,-0.0934933,-0.89059
-0.315357,-0.413502,0.309755,-0.802612,-1.1241,1.68116,0.525744,1.15205,0.180463,-2.25807,-0.930947,0.254034,1.19875,-0.408672,-1.83203,-0.00890778,1.05898,0.640519,-1.83114,0.00529659
1.23082,0.390646,0.946789,1.42878,1.09507,1.0598,2.13977,2.95771,0.495284,0.264557,0.840831,0.180046,2.76417,-1.09058,-1.99922,-0.650007,2.18562,-0.18463,2.40333,-0.370146
-2.08379,-0.721452,0.201036,-0.558003,-0.51777,1.67034,-3.94803,-0.708799,-3.71845,-2.41319,-1.09067,-0.605788,0.432788,1.40838,-0.766911,0.727538,-1.1689,1.08561,0.174278,-0.369247
-0.853267,0.627521,0.244426,0.233457,1.39286,0.0758644,-1.70725,-0.972997,-0.66544,-1.55574,0.0818967,-1.60715,0.667895,-0.695486,-1.47011,-1.69747,-1.74984,-1.71624,-2.90614,1.27916
-2.10714,-0.246572,1.16597,-0.157806,0.342049,-1.08979,-0.396586,-3.06285,0.736136,-0.739027,-1.98655,-2.16455,-2.4755,2.49682,-1.94182,-0.311584,-0.88941,-0.979347,-1.28263,-1.10588
-1.61478,-0.131673,-0.652251,-0.285435,-0.427893,-0.611205,-2.56215,-2.37416,-1.69968,-0.71553,-1.78105,0.425348,-3.14085,-0.063374,-0.135688,1.00593,0.976685,-0.119193,-1.31836,-0.568253
1.4094,-0.747995,0.176995,0.302281,1.98816,0.841724,3.16843,1.2304,2.1431,2.03724,1.44862,-0.474392,0.435519,1.48195,-1.84248,0.658771,1.60444,-0.643336,0.567771,0.738971
-1.18658,-0.894784,-0.736013,-0.799672,-0.806088,0.832831,-0.799915,0.663794,-0.370064,-1.02777,-0.702927,1.013,-1.14908,-0.0761424,0.461432,-0.22581,-1.4909,-1.458,-0.910285,-1.50091
-1.13316,-0.709575,-1.25016,-1.72697,1.20771,-1.41287,-1.45347,-1.27659,-0.32827,-2.65481,-0.504216,0.0331295,-1.07755,0.171875,-1.51108,0.251819,-0.483122,-0.0351747,-1.61924,0.39096
0.198212,0.547929,0.358817,-0.891326,-2.10087,0.101005,-0.462376,1.08742,0.0333844,-0.795806,-0.794064,0.085533,0.879287,-1.08917,-0.859999,-1.43774,2.11431,-1.92443,-1.89341,0.0834409
-0.468227,-0.0634403,1.77981,1.79469,-0.462473,1.5325,-2.88266,-1.68838,-0.526684,-2.17945,0.0881533,0.441123,-0.54273,-0.182603,-0.71388,0.910419,-1.30446,-1.66704,-0.941944,0.610121
-0.635833,1.4694,0.75601,2.0078,-0.101956,0.763647,-0.221197,-1.11789,-0.365054,-0.634892,-1.94325,-0.015948,-0.0834306,-0.737786,-0.402283,-2.65017,-1.2014,-1.41017,-0.358292,-2.4623
0.070313,-0.796125,0.588598,0.87405,-0.0377914,1.48243,-0.93407,1.79138,0.0478888,0.993601,-0.524914,-0.737382,-0.694991,1.13176,0.280987,0.246799,1.79088,-1.7501,1.14919,-1.39974
-1.42146,0.140308,1.06269,0.0427072,1.41704,2.38775,-1.71808,-0.178849,-0.238848,-2.49239,-1.08504,-0.939677,0.0371401,0.123062,0.406201,2.18293,-1.79477,-1.37345,-1.24124,-0.348087
1.59971,0.97504,2.46846,1.98782,0.620523,-0.297831,2.04143,0.870438,3.05767,2.49426,2.28735,0.219236,1.19519,0.281687,-0.266971,-0.717507,1.67834,-0.780614,2.61468,1.77608
